Date,Open,High,Low,Close,Volume,HL,OC
2024-10-11,244.5800,245.9200,240.6300,245.4700,26221555,0.021628914874478666,0.0036388911603564738
2024-10-04,243.9700,246.9800,242.5000,245.0000,35949760,0.018362913472967948,0.0042218305529368415
2024-09-27,242.9700,247.3700,242.5850,245.0200,36576658,0.019693789356710692,0.008437255628266912
2024-09-20,238.7300,242.6250,235.3000,242.2100,34897416,0.03068319859255221,0.014577137351820124
2024-09-13,231.2600,238.9800,230.3900,238.6800,29964531,0.03714433970422902,0.032085099022745034
2024-09-06,230.3800,232.8900,228.5200,230.6300,22200548,0.018968660473999376,0.0010851636426773158
2024-08-30,233.4500,233.6100,230.5501,231.2900,23815596,0.013107303491111706,0.41910473334761195
2024-08-23,230.1500,234.0100,228.2600,232.0200,30759356,0.024983706278514012,0.008125135781012403
2024-08-16,226.1400,232.0200,225.1200,231.9900,34961838,0.030512072167683764,0.0258689307508624
2024-08-09,220.5600,225.2800,220.1100,224.5600,39357166,0.02344033369604637,0.018135654697134566
2024-08-02,221.2600,228.7600,219.0450,225.3400,35247751,0.043907619994576534,0.018439844526801107
2024-07-26,221.5800,224.8800,217.5200,220.6300,32714381,0.03321599422330528,0.44701687877967317
2024-07-19,223.3900,229.6500,221.4100,221.7300,39561928,0.03688616321231931,0.44021666144411126
2024-07-12,219.6400,224.1489,217.2650,223.1100,29754769,0.03134174103077769,0.015798579493717116
2024-07-05,215.2500,221.2800,214.4850,220.9300,19725456,0.03156794425087102,0.026387921022067395
2024-06-28,215.5500,215.9400,212.1204,215.0100,22097882,0.017720250521920704,0.46142426351194604
2024-06-21,214.9000,218.7413,213.6000,214.7800,25025001,0.023924150767798982,0.4647743136342485
2024-06-14,213.1300,216.5500,212.2600,215.7300,27073204,0.020128560033782297,0.012199127293201306
2024-06-07,215.9200,219.9700,211.5400,211.6000,34640180,0.03904223786587628,0.4431270841052242
2024-05-31,218.4300,218.5900,214.6500,215.3000,16683122,0.01803781531840863,0.4434830380442247
2024-05-24,223.7900,225.6600,215.6600,215.9200,32646880,0.044684749095133834,0.41168059341346797
2024-05-17,217.0600,223.8501,215.8000,223.6600,33640326,0.0370869805583709,0.03040633926103379
2024-05-10,215.1400,219.6000,213.5000,218.7100,33397334,0.028353630194292063,0.01659384586780711
2024-05-03,216.0200,217.2150,210.7100,212.9600,42999242,0.03011295250439772,0.44875474493102485
2024-04-26,216.3500,217.0676,213.8700,216.6200,42750673,0.014779755026577279,0.0012479778137278032
2024-04-19,217.9400,222.3600,215.1600,221.0300,50691981,0.03303661558227043,0.014178214187391042
2024-04-12,215.9800,225.0900,214.6100,216.8900,78910174,0.04852301138994347,0.0042133530882488964
2024-04-05,208.6800,215.7400,206.2900,215.1400,62776202,0.04528464634847622,0.030956488403296813
2024-03-28,201.1900,206.0500,200.9650,205.7200,25022880,0.025274616034594206,0.022516029623738762
2024-03-22,199.6600,203.9200,198.9350,200.3500,35773152,0.02496744465591498,0.0034558749874787024
2024-03-15,201.7100,202.4100,199.1600,199.7100,33526549,0.016112240345049822,0.48584601655842546
2024-03-08,194.1500,203.3000,193.8800,201.6300,54291690,0.0485191861962401,0.03852691218130306
2024-03-01,187.7900,193.4000,187.5300,192.8900,32741080,0.0312583204643485,0.027157995633420282
2024-02-23,187.9600,189.1800,187.0500,188.6200,22699197,0.011332198340072331,0.003511385401149162
2024-02-16,186.6000,187.2700,183.7800,186.3400,34010994,0.01870310825294753,0.5345123258306539
2024-02-09,186.8750,189.3900,186.7000,187.6000,24865162,0.014394648829431426,0.0038795986622073273
2024-02-02,188.3100,191.3600,187.1899,188.6100,36107979,0.022144867505708772,0.0015931177314004107
2024-01-26,187.2300,188.3700,186.3200,187.0100,25089403,0.010949100037387232,0.5329274154782888
2024-01-19,189.1500,189.2600,185.4500,187.9300,25596120,0.020142743854084072,0.5222310335712398
2024-01-12,187.2100,191.0800,186.5600,189.7100,28821727,0.024144009401207252,0.0133539875006677
2024-01-05,191.4400,191.8900,188.1600,189.3500,26525731,0.01948391140827408,0.5114396155453406
2023-12-29,190.9700,193.1823,190.4000,191.1700,21013385,0.0145693040791747,0.0010472849138607563
2023-12-22,187.5000,191.8800,187.2400,190.2700,29160624,0.024746666666666594,0.014773333333333388
2023-12-15,184.5000,189.8200,183.1513,187.0000,41643919,0.03614471544715448,0.013550135501355014
2023-12-08,189.5990,190.3800,184.9000,185.6400,44903205,0.028903106029040185,0.5065480303166157
2023-12-01,186.5600,192.3950,185.9300,192.0100,49915257,0.03465373070325902,0.02921312178387644
2023-11-24,182.3200,186.1150,182.2250,185.5200,19499110,0.021336112329969365,0.017551557700746036
2023-11-17,179.4000,184.3200,179.1100,183.6700,30251591,0.029041248606465883,0.023801560758082395
2023-11-10,184.1400,184.2300,179.2450,179.5100,35906669,0.02707179320082538,0.5179211469534051
2023-11-03,185.5400,186.2100,182.6700,184.7900,43783634,0.019079443785706696,0.5349250835399375
2023-10-27,183.5099,186.3600,181.6800,186.1500,47935018,0.025502711297864623,0.014386689764421529
2023-10-20,177.8400,185.2300,177.5350,183.5900,56730314,0.04326923076923073,0.03233243364822312
2023-10-13,171.1800,179.0950,171.0750,178.8300,47889092,0.046851267671457,0.04468980021030498
2023-10-06,170.2300,170.4600,168.3000,169.7000,51119119,0.012688715267579139,0.5843270868824532
2023-09-29,178.4100,178.7100,171.2650,171.4500,44172033,0.041729723670197984,0.5214954318704108
2023-09-22,178.8200,180.6600,177.6900,178.6200,29815047,0.016608880438429702,0.5581031204563249
2023-09-15,178.9700,179.1050,176.3600,178.3400,23814578,0.01533776610605116,0.5552327205676929
2023-09-08,179.3300,179.4438,177.7000,178.0800,20034970,0.009723972564545928,0.5506607929515418
2023-09-01,177.6500,181.1200,177.5100,180.1100,28677373,0.02032085561497334,0.013847452856740827
2023-08-25,175.9000,178.4900,174.9600,177.6200,29707311,0.020068220579874934,0.009778283115406475
2023-08-18,176.8600,177.5800,174.9300,175.3300,37887297,0.014983602849711668,0.556768065136266
2023-08-11,180.1500,180.1500,177.4900,177.6000,26541577,0.014765473216763789,0.5409381071329447
2023-08-04,182.4300,183.0900,179.2800,180.1900,28100090,0.020884722907416556,0.5358767746532916
2023-07-28,182.2200,183.6400,180.3200,181.8600,26040556,0.018219734387004683,0.5468115464822743
2023-07-21,180.9900,184.2300,180.6400,182.1800,25125298,0.019835350019338102,0.006574948892203976
2023-07-14,178.3700,182.1700,178.2601,181.4300,23119985,0.02192016594718839,0.017155351236194438
2023-07-07,178.6100,179.6500,176.6600,178.6400,20071904,0.01674038407703941,0.00016796371983636253
2023-06-30,179.0500,179.2900,175.7900,178.2700,27409122,0.019547612398771293,0.5541468863445964
2023-06-23,180.0600,180.0900,177.6300,178.2000,27656917,0.013662112629123669,0.5450405420415416
2023-06-16,181.8000,182.6180,180.1400,181.6300,32327244,0.013630363036303677,0.549119911991199
2023-06-09,180.7900,183.0400,180.1500,182.0400,30558185,0.015985397422423733,0.006914099231152166
2023-06-02,181.7200,184.2100,180.9600,181.0500,29368259,0.01788465771516619,0.5466101694915255
2023-05-26,183.2200,183.8400,180.0900,180.9200,30655098,0.020467197904158935,0.5332387293963541
2023-05-19,187.3000,187.8800,181.3350,183.6400,39767736,0.03494394020288301,0.5143619861185262
2023-05-12,187.8200,189.6400,186.5800,186.8100,37899333,0.016292194654456256,0.5270471728250453
2023-05-05,186.0500,191.3600,183.9100,187.4600,59341305,0.04004299919376521,0.007578607901101836
2023-04-28,184.0700,186.6500,183.3800,184.8000,40485755,0.017764980713858913,0.003965882544684186
2023-04-21,185.8900,187.0300,183.2200,184.2500,39372092,0.020495992253483256,0.5291301307224704
2023-04-14,185.1800,190.4100,184.1900,186.3600,49773203,0.03358894049033372,0.006372178420995824
