Date,Open,High,Low,Close,Volume,HL,OC
2024-10-15,417.7700,424.0400,415.2600,418.7400,35553287,2.1016348708619645,0.23218517366015448
2024-10-11,416.0000,420.3800,408.1700,416.3200,83116599,2.935096153846149,0.07692307692307529
2024-10-04,428.2100,430.4200,414.2900,416.0600,85407142,3.766843371243081,-2.8373928679853293
2024-09-27,434.2800,436.4600,426.1000,428.0200,74929184,2.385557704706631,-1.4414663350833543
2024-09-20,430.6000,441.8500,428.2200,435.2700,128480635,3.1653506734788657,1.0845332094751414
2024-09-13,407.2400,431.8300,402.1500,430.5900,87449658,7.288085649739713,5.733719673902358
2024-09-06,417.9100,419.8800,400.8000,401.7000,69005355,4.565576320260339,-3.878825584455992
2024-08-30,416.3650,422.0500,407.3100,417.1400,82881966,3.540163078068524,0.18613476156736933
2024-08-23,418.9600,426.7899,412.0900,416.7900,85544521,3.5086643116287988,-0.5179492075615714
2024-08-16,407.0600,421.3400,404.2434,418.4700,97971871,4.200019653122381,2.8030265808480386
2024-08-09,389.1700,410.0800,385.5800,406.0200,125786365,6.29544928951358,4.329727368502188
2024-08-02,431.5800,432.1500,404.3400,408.4900,150439080,6.443764771305436,-5.350108902173403
2024-07-26,441.7900,448.3900,417.2700,425.2700,109249239,7.044070712329388,-3.7393331673419583
2024-07-19,453.3000,457.2600,432.0000,437.1100,95094386,5.572468563864988,-3.5715861460401492
2024-07-12,466.5500,467.7000,450.6450,453.5500,87822377,3.6555567463294407,-2.7864108884363947
2024-07-05,448.6600,468.3500,445.6600,467.5600,57575717,5.05728168323452,4.212544019970574
2024-06-28,449.8000,456.1700,446.4100,446.9500,92336873,2.169853268119162,-0.6336149399733265
2024-06-21,442.5850,450.9400,440.7200,449.7800,92266084,2.3091609521334817,1.6256764237378116
2024-06-14,424.7000,443.4000,423.8900,442.5700,80462918,4.593830939486694,4.20767600659289
2024-06-07,415.5250,426.2800,408.9234,423.8500,77304531,4.177029059623358,2.003489561398242
2024-05-31,429.6300,430.9400,404.5100,415.1300,107655251,6.15180504154738,-3.3749970905197495
2024-05-24,420.2100,433.6000,419.9900,430.1600,84866064,3.2388567620951463,2.367863687204028
2024-05-17,418.0100,425.4200,410.8200,420.2100,85671354,3.492739408148136,0.5263031984880717
2024-05-10,408.7600,415.3800,406.3701,414.7400,76899183,2.2042029552793854,1.4629611507975384
2024-05-03,405.2500,407.1500,389.1700,406.6600,107082034,4.436767427513871,0.34793337446021594
2024-04-26,400.0800,413.0000,388.0300,406.3200,121367810,6.241251749650077,1.5596880623875249
2024-04-19,426.6000,426.8200,397.7700,399.1200,104490345,6.80965775902485,-6.441631504922648
2024-04-12,425.1700,429.3700,419.7000,421.9000,80153656,2.274384363901502,-0.7691041230566688
