Date,Open,High,Low,Close,Volume,HL,OC
2024-10-15,581.2200,585.2700,578.5450,579.7600,89329742,1.1570489659681398,-0.2511957606414157
2024-10-11,571.3000,580.3300,566.6300,579.5800,211681681,2.398039558900761,1.449326098372149
2024-10-04,570.4200,574.3800,565.2700,572.9800,258273676,1.5970688264787374,0.44879211808843644
2024-09-27,569.3400,574.7100,567.6000,571.4700,219788113,1.2488144166930153,0.37411739909368663
2024-09-20,561.7400,572.8800,559.9000,568.2500,297840609,2.3106775376508737,1.1588991348310589
2024-09-13,544.6500,563.0300,539.9600,562.0100,243292245,4.235747727898639,3.1873680345175828
2024-09-06,560.4700,560.8100,539.4400,540.3600,219590659,3.8128713401252323,-3.5880600210537605
2024-08-30,563.1800,564.2000,555.0400,563.6800,210963817,1.626478213004738,0.08878156184523599
2024-08-23,554.7300,563.1800,553.8600,562.1300,221129506,1.6800966235826322,1.3339822976943696
2024-08-16,534.2100,555.0200,530.9500,554.3100,242599611,4.505718724846022,3.7625652833155327
2024-08-09,511.6400,534.5100,510.2700,532.9900,410688190,4.737706199671646,4.172855914314757
2024-08-02,546.0200,554.8688,528.6000,532.9000,311250646,4.810959305519934,-2.402842386725762
2024-07-26,553.0000,556.7350,537.4500,544.4400,267223623,3.487341772151893,-1.5479204339963735
2024-07-19,562.0300,565.1600,547.9100,548.9900,255957982,3.0692311798302585,-2.3201608455064613
2024-07-12,555.4400,563.6700,554.1900,559.9900,208264385,1.7067550050410312,0.8191703874405794
2024-07-05,545.6300,555.0500,542.5200,554.6400,155010902,2.296427982332345,1.651302164470427
2024-06-28,544.3300,550.2800,542.4400,544.2200,233538652,1.440302757518402,-0.020208329506000704
2024-06-21,542.0800,550.1200,541.6072,544.5100,232057959,1.5703955135773262,0.44827331759149014
2024-06-14,533.1800,544.1200,532.0500,542.7800,220214812,2.263775835552731,1.8005176488240413
2024-06-07,529.0200,536.8900,522.6000,534.0100,203111783,2.7012211258553482,0.9432535631923197
2024-05-31,530.2700,530.5100,518.3600,527.3700,218714190,2.2912855715013065,-0.5468912063665637
2024-05-24,529.5700,533.0700,524.7200,529.4400,218093448,1.5767509488830602,-0.024548218365843127
2024-05-17,522.5600,531.5218,519.7400,529.4500,263189537,2.2546310471524755,1.3185088793631545
2024-05-10,513.7500,522.6350,513.3000,520.8400,237750055,1.8170316301703233,1.3800486618004928
2024-05-03,510.0900,512.5500,499.5500,511.2900,339448742,2.5485698602207343,0.2352526024819239
2024-04-26,497.8300,509.8800,495.4300,508.2600,321951230,2.9025972721611772,2.0950927023281056
2024-04-19,515.1300,515.3000,493.8600,495.1600,418256444,4.162056179993388,-3.8766913206375033
2024-04-12,519.1500,520.7500,509.0800,510.8500,360446531,2.2479052297024014,-1.598767215640943
2024-04-05,523.8300,524.3800,512.7550,518.4300,361873253,2.2192314300440983,-1.0308687933108243
2024-03-28,519.8000,524.6100,518.4000,523.0700,293270515,1.1946902654867328,0.6290881108118691
2024-03-22,514.0000,524.1100,511.1200,521.2100,358570122,2.527237354085605,1.4027237354085673
2024-03-15,510.4800,517.3800,508.1220,509.8300,398284000,1.8135872120357273,-0.1273311393198625
2024-03-08,512.0300,518.2201,504.9100,511.7200,336221867,2.5994765931683648,-0.06054332753939133
2024-03-01,508.3000,513.2900,504.7500,512.8500,316517539,1.6801101711587574,0.895140664961639
2024-02-23,497.7200,510.1300,493.5600,507.8500,269064864,3.329181065659405,2.035280880816522
2024-02-16,501.1700,503.5000,490.7150,499.5100,375205197,2.551030588423095,-0.3312249336552517
2024-02-09,493.6950,501.6500,490.2300,501.2000,318555221,2.3131690618701746,1.5201693353183636
2024-02-02,487.7300,496.0500,482.8600,494.3500,437072028,2.7043651200459267,1.3573083468312395
2024-01-26,484.0100,489.1200,482.7800,487.4100,355178832,1.309890291522909,0.7024648251069263
2024-01-19,475.2600,482.7200,469.8700,482.4300,356549472,2.703783192357872,1.5086478979926812
2024-01-12,468.4300,478.6000,468.3000,476.6800,344088296,2.198834404286662,1.7612023141131012
2024-01-05,472.1600,473.6700,466.4300,467.9200,396379586,1.5333785157573723,-0.8980006777363624
2023-12-29,474.0700,477.5500,473.3000,475.3100,318702613,0.8964920792288059,0.2615647478220535
2023-12-22,470.9800,475.8950,467.8200,473.6500,379149050,1.7145101702832368,0.5669030532081955
2023-12-15,459.6900,473.7300,459.4700,469.3300,487187546,3.102090539276467,2.097065413648325
2023-12-08,455.6000,460.7450,454.3100,460.2000,360115323,1.4124231782265149,1.0096575943810284
2023-12-01,454.6500,459.6500,453.3400,459.1000,344703088,1.3878807874188943,0.9787748817772013
2023-11-24,450.5300,456.3800,450.5200,455.3000,208484220,1.30069029809336,1.0587530242159322
2023-11-17,439.2300,451.4200,438.4200,450.7900,376600275,2.9597249732486395,2.631878514673406
2023-11-10,435.4700,440.9300,433.4000,440.6100,366566272,1.7291661882563734,1.1803338921165605
2023-11-03,413.5600,436.2900,412.2200,434.6900,459402624,5.820195376728888,5.109294902795241
2023-10-27,419.6100,424.8200,409.2100,410.6800,487346964,3.7201210647982683,-2.1281666309191882
2023-10-20,433.8200,438.1400,421.0800,421.1900,489560531,3.932506569544973,-2.911345719422801
2023-10-13,427.5800,437.3350,427.0101,431.5000,397788728,2.414729407362355,0.9167875017540614
2023-10-06,426.6200,431.1250,420.1800,429.5400,458428227,2.565514978200739,0.6844498617036275
2023-09-29,429.1700,432.2700,422.2900,427.4800,479118444,2.3254188316983857,-0.3937833492555392
2023-09-22,443.0500,444.9700,429.9900,430.4200,409754973,3.381108227062412,-2.85069405259
2023-09-15,448.2400,451.0800,442.9200,443.3700,383224485,1.820453328573971,-1.086471533107265
2023-09-08,450.7300,451.0600,442.7500,445.5200,258348585,1.8436758147893422,-1.1559026468173932
2023-09-01,442.2400,453.6700,439.9728,451.1900,338759881,3.0972322720694665,2.0237879884225736
2023-08-25,437.5500,445.2200,435.0000,439.9700,393065214,2.3357330590789687,0.5530796480402276
2023-08-18,444.7000,448.1100,433.0100,436.5000,398245456,3.3955475601529175,-1.8439397346525723
2023-08-11,448.7100,451.7000,443.3450,445.6500,370204760,1.862004412649587,-0.6819549374874646
2023-08-04,457.4100,458.1600,446.2700,446.8100,376024611,2.5994184648346215,-2.3173957718458325
2023-07-28,453.3700,459.4400,451.5500,456.9200,352473672,1.7403004168780436,0.7830249023976027
2023-07-21,449.1300,456.4300,449.0800,452.1800,341183617,1.6364972279740884,0.6790906864382276
2023-07-14,438.1800,451.3600,437.5850,449.2800,361072844,3.143685243507242,2.5332055319731537
2023-07-07,442.9200,444.0800,437.0600,438.5500,258004290,1.5849363316174436,-0.9866341551521729
2023-06-30,432.6200,444.3000,431.1900,443.2800,394119558,3.0303730756784275,2.464056215616469
2023-06-23,437.4500,438.3700,432.4700,433.2100,315854322,1.3487255686364104,-0.969253628986172
2023-06-16,430.9200,443.9000,430.1700,439.4600,497237427,3.186206256381686,1.9818063677712716
2023-06-09,428.2800,431.9900,425.8200,429.9000,362455718,1.4406463061548558,0.3782572149061373
2023-06-02,422.0300,428.7400,416.2200,427.9200,358857521,2.9666137478378274,1.395635381371003
2023-05-26,418.6400,420.7700,409.8795,420.0200,421134151,2.601399770686025,0.3296388304987568
2023-05-19,412.2200,420.7200,410.2300,418.6200,400252347,2.544757653680076,1.552569016544558
2023-05-12,412.9700,414.5350,408.8700,411.5900,336048421,1.3717703465142794,-0.3341647093009304
2023-05-05,415.4700,417.6200,403.7400,412.6300,440446161,3.3407947625580654,-0.6835631934917158
2023-04-28,411.9900,415.9400,403.7800,415.9300,422820175,2.9515279497075233,0.95633389159931
2023-04-21,412.3700,415.7200,410.1700,412.2000,333581642,1.345878701166431,-0.041225113369065626
2023-04-14,406.6100,415.0900,405.9700,412.4600,373375620,2.2429354910110297,1.4387250682472064
2023-04-06,408.8500,411.9200,405.6780,409.1900,262936219,1.5267212914271782,0.08316008316007704
2023-03-31,398.1200,409.7000,393.6900,409.3900,396282637,4.02140058273887,2.83080478247764
2023-03-24,390.8000,402.4900,389.4000,395.7500,523448057,3.349539406345965,1.2666325486182162
2023-03-17,381.8100,396.4700,380.6500,389.9900,764846608,4.143422120950224,2.142426861527987
2023-03-10,405.0500,407.4500,384.3200,385.9100,557051492,5.7104061227009,-4.725342550302428
2023-03-03,399.8700,404.4500,392.3300,404.1900,452114804,3.030985070147799,1.0803511141120847
2023-02-24,403.0600,404.1600,393.6400,396.3800,370835029,2.610033245670629,-1.6573214905969351
2023-02-17,408.7200,415.0500,404.0500,407.2600,380677415,2.6913290272068897,-0.35721276179292333
2023-02-10,409.7900,416.4900,405.0100,408.0400,376978106,2.8014348812806604,-0.42704800019522193
2023-02-03,402.8000,418.3100,400.2800,412.3500,458864203,4.476166832174783,2.3709036742800427
2023-01-27,396.7200,408.1600,393.5600,405.6800,369137564,3.6801774551320885,2.2585198628755743
2023-01-20,398.4800,400.2300,387.2600,395.8800,341074818,3.2548685003011513,-0.6524794218028566
2023-01-13,390.3700,399.1000,386.2700,398.5000,362278876,3.286625509132372,2.0826395470963432
2023-01-06,384.3700,389.2500,377.8310,388.0800,341944888,2.970835392980717,0.9652158076852979
2022-12-30,382.7900,384.3500,376.4200,382.4300,273542782,2.0716319653073505,-0.09404634394838257
2022-12-23,383.4700,387.4100,374.7700,382.9100,392450896,3.296216131640035,-0.1460348919081029
2022-12-16,394.1100,410.4900,381.0400,383.2700,544863559,7.472533049148712,-2.750501129126394
2022-12-09,403.9500,404.9300,391.6400,393.2800,363375573,3.2900111399925787,-2.6414160168337704
2022-12-02,399.0900,410.0000,393.3000,406.9100,426639342,4.1845197825051965,1.959457766418615
2022-11-25,394.6400,402.9300,392.6600,402.3300,210479276,2.6023717818771495,1.9486113926616657
2022-11-18,396.6600,402.3100,390.1400,396.0300,401014777,3.068118791912473,-0.1588261987596562
2022-11-11,377.7100,399.3500,373.6100,398.5100,466719198,6.814752058457549,5.506870350268727
2022-11-04,386.4400,390.3900,368.7900,376.3500,499634509,5.5894834903219035,-2.6110133526549983
2022-10-28,375.8900,389.5200,373.1100,389.0200,450644317,4.365638883715972,3.493043177525339
2022-10-21,364.0100,375.4500,357.2808,374.2900,489399410,4.991401335128153,2.8240982390593747
2022-10-14,363.9600,370.2600,348.1100,357.6300,516508880,6.085833608088795,-1.7392021101219872
2022-10-07,361.0800,379.4600,359.2100,362.7900,471547964,5.608175473579262,0.47357926221337
